x,y,time_stamp
-1.3501718973513253,2.237833026194029,1520420826.277411
-1.3357572794296169,2.265998936868941,1520420826.437567
-1.3198146115286544,2.293080441465638,1520420826.597757
-1.3023656534094126,2.3199863229236057,1520420826.757502
-1.2843750592749354,2.346224443454544,1520420826.917428
-1.2660902504873992,2.3721023305045428,1520420827.085413
-1.2475035765744844,2.3978166400322203,1520420827.245465
-1.228345659512891,2.423161223994981,1520420827.405385
-1.2060084031818306,2.450726026290402,1520420827.569711
-1.1881593616610682,2.4716546757188005,1520420827.729813
-1.1671000369076703,2.495614160768311,1520420827.889656
-1.1460573771446694,2.5191896755618086,1520420828.049727
-1.1244847708658794,2.542745628670677,1520420828.209363
-1.096887792893716,2.571166070099895,1520420828.371277
-1.0799180225152247,2.587170938418107,1520420828.529713
-1.056492771009837,2.608252903341542,1520420828.689409
-1.032581709798994,2.629173505124157,1520420828.849721
-1.0085826047276234,2.6499279724873497,1520420829.009393
-0.9843999575943964,2.67059973873437,1520420829.169357
-0.9599931352674562,2.691006068686452,1520420829.33448
-0.9322461407630545,2.713048980144854,1520420829.49336
-0.9067102792581528,2.7315840710702424,1520420829.657375
-0.8800716361542521,2.748416020914517,1520420829.817587
-0.8526448654575265,2.7639362059855093,1520420829.980197
-0.8244955974807268,2.7788505655547215,1520420830.137381
-0.7964451981290293,2.7933103471626457,1520420830.297352
-0.7683172749437898,2.807618741126904,1520420830.461563
-0.7400654906647632,2.821776286429003,1520420830.621735
-0.7116178139442695,2.835535110615058,1520420830.781557
-0.6828770979926817,2.8485657771927384,1520420830.941394
-0.6536467815113296,2.8602194037824282,1520420831.101406
-0.6239209852834938,2.869879761138346,1520420831.261376
-0.5935494640073059,2.8782878450286784,1520420831.421401
-0.562840559246042,2.885918246708638,1520420831.581613
-0.5319154192876436,2.8926105927815806,1520420831.74142
-0.5005109937190247,2.8976629790680786,1520420831.901394
-0.4692428230072038,2.9002866004543364,1520420832.061497
-0.4381202636594826,2.900151815626967,1520420832.221355
-0.40668576471677176,2.8979464627796623,1520420832.381553
-0.37913381650936695,2.8949058899327493,1520420832.541473
-0.3437840203648461,2.8902743501749755,1520420832.70138
-0.31628447049491115,2.8864621017721155,1520420832.861435
-0.2848870360278605,2.8818900532330667,1520420833.021362
-0.25390109772163943,2.8771606010686805,1520420833.181648
-0.22277929101162208,2.872195527767783,1520420833.341395
-0.19177580013672954,2.8670347471331477,1520420833.501358
-0.16067789022097048,2.8616654638213967,1520420833.661711
-0.1296943364116816,2.856138264555636,1520420833.821389
-0.09471498028529711,2.849471581832554,1520420833.985372
-0.06374807786498018,2.84276551859247,1520420834.145729
-0.03341186718776581,2.8347294075516274,1520420834.305408
-0.007735095817648434,2.825755554518103,1520420834.465361
0.02115738527350384,2.8128693808410516,1520420834.625366
0.04896390528641255,2.7981385115774717,1520420834.785378
0.07601215386088842,2.7821331152988,1520420834.94559
0.10305863589492802,2.7656259301354487,1520420835.105396
0.12989169072630288,2.7489351517619562,1520420835.265414
0.1564236537156781,2.731770917785025,1520420835.425378
0.18242721591013908,2.7138190019176776,1520420835.585417
0.2073015890256692,2.6946832819259883,1520420835.745714
0.23091954056688352,2.6739531991897483,1520420835.909791
0.2535373809105632,2.6521318998719505,1520420836.069418
0.2757354272091317,2.629461937417363,1520420836.229368
0.297485437219011,2.6067140151393855,1520420836.389382
0.32209516249438447,2.580565696882258,1520420836.555598
0.3437076503446225,2.5572199683770145,1520420836.713693
0.36760540711939366,2.5309934933727276,1520420836.874171
0.3860456780932131,2.5104685695052082,1520420837.037444
0.4069586679683581,2.486891773845815,1520420837.197786
0.42762548996902655,2.463268625473967,1520420837.357759
0.4482472192729954,2.439380297805131,1520420837.517409
0.46903520320568176,2.4149604366189474,1520420837.677676
0.4893826975285452,2.3907266146496036,1520420837.83786
0.509712189873279,2.366200086453748,1520420837.997385
0.5300785162668115,2.341317133436045,1520420838.157543
0.549904745270324,2.3167645547620452,1520420838.31738
0.5702417892985595,2.2912549690296866,1520420838.477648
0.5896564839155013,2.2665381943166905,1520420838.637783
0.6093687016400616,2.241133942147002,1520420838.79745
0.6286460419360819,2.215932984697903,1520420838.957582
0.6456466024492302,2.1934474153971424,1520420839.117358
0.6669464030250414,2.1649106727171907,1520420839.277614
0.6834715705307942,2.142495941429148,1520420839.437745
0.7021081240573112,2.116922942844933,1520420839.597415
0.720764834311369,2.0909959520592953,1520420839.757373
0.7438494326404081,2.0584838823021463,1520420839.919719
0.7577088206805911,2.0387217170864327,1520420840.077378
0.7758938208684568,2.012513632072344,1520420840.237415
0.7938548029959931,1.9863064543674855,1520420840.397542
0.8118342063380092,1.959802139628262,1520420840.557359
0.829607773832371,1.9333132732933154,1520420840.717434
0.8471842330891391,1.9067954813343948,1520420840.877421
0.8648478895495647,1.8798244427577326,1520420841.03763
0.8821025940792967,1.8531977585318657,1520420841.197432
0.8992338472093192,1.8263397564178467,1520420841.357393
0.9158920402812346,1.7993863991866883,1520420841.517359
0.9315439204646115,1.7724282784878425,1520420841.677359
0.9443062124375831,1.74801636599457,1520420841.837574
0.9549238337324619,1.7257241784803028,1520420841.997422
0.967257025271475,1.699007792657148,1520420842.157384
0.9803234373152697,1.670422446831148,1520420842.317513
0.9934598305036678,1.6417284306265252,1520420842.477395
1.0068938551816369,1.6130318030648068,1520420842.637635
1.0212968964564544,1.585053314488488,1520420842.801585
1.0375110645012535,1.557983070804974,1520420842.961389
1.054808118647952,1.5315383724719316,1520420843.125408
1.07284374475177,1.5054866394000668,1520420843.285378
1.0912752976598554,1.4795558974766023,1520420843.445379
1.1096937102155953,1.4536157893344546,1520420843.605544
1.1279907076130136,1.4277464487847507,1520420843.765813
1.146244005253881,1.4017941017827167,1520420843.929392
1.1645531634303756,1.3756204796677856,1520420844.089402
1.1849555876968323,1.3462793625419396,1520420844.249619
1.2031078063274507,1.3200485007959846,1520420844.413516
1.2212453526851546,1.293703885143059,1520420844.577374
1.2392155622680447,1.2674512962105113,1520420844.737478
1.2570056269762042,1.2413339047051277,1520420844.90161
1.2747745958323409,1.215099071741779,1520420845.06586
1.2925449982913704,1.1887108263121011,1520420845.225414
1.3101949383844946,1.1623444296313832,1520420845.385394
1.3278744233683113,1.1357926486594174,1520420845.545531
1.3454675959501248,1.109234744652687,1520420845.709365
1.362953478610106,1.0827081693657141,1520420845.869747
1.380236609355094,1.0563545211002707,1520420846.029762
1.397633536876868,1.0296676472811428,1520420846.18978
1.4147470635368318,1.0034069228721183,1520420846.353371
1.4342406354173702,0.9738623933733076,1520420846.517359
1.4499274242191191,0.95080192626016,1520420846.6734
1.4684478697240184,0.9253064580096494,1520420846.833428
1.488373455741459,0.9011725007166026,1520420846.99342
1.5096236735420214,0.8779595956158621,1520420847.153387
1.5315807888187971,0.8554722200916787,1520420847.313479
1.553956912666242,0.8333399437832074,1520420847.473421
1.576789544684583,0.8113091863816072,1520420847.63364
1.600021722101667,0.7898894799474298,1520420847.793415
1.6242583104417478,0.7691542594463427,1520420847.953421
1.6494758167647525,0.7506265507181752,1520420848.113397
1.6762359030674983,0.7339096698630547,1520420848.273416
1.7040685652715652,0.7186810863643657,1520420848.433773
1.7323802188543165,0.7043595198518915,1520420848.593404
1.760997761904538,0.6906593494589267,1520420848.753464
1.7902171933944433,0.6777600698958329,1520420848.913397
1.8197853252037295,0.6663838795289647,1520420849.073421
1.8498960777440294,0.6568066505760297,1520420849.233742
1.880758367732901,0.6484131606031307,1520420849.393377
1.9117919115400426,0.6408523804831805,1520420849.553484
1.9430097755935087,0.6340966325877767,1520420849.717365
1.9743115035602228,0.6286748828644603,1520420849.877597
2.0058531780639988,0.6253130956388216,1520420850.037658
2.037309351707131,0.6246621992826787,1520420850.201947
2.0690705347250753,0.6264056711930835,1520420850.361644
2.1005761660223143,0.6297609917170907,1520420850.521378
2.131963481208089,0.6340973383661691,1520420850.681487
2.163816989447318,0.6387928316735393,1520420850.841372
2.1954827839577655,0.6435903392188471,1520420851.001788
2.2270874442741055,0.64850499950247,1520420851.16144
2.258619115625739,0.6536072052784171,1520420851.321384
2.289793753447304,0.6590313903643956,1520420851.481607
2.3208830256771065,0.6651464570615601,1520420851.641396
2.3518652587988766,0.6721793192413141,1520420851.801568
2.3824159178703095,0.6797410161741331,1520420851.961421
2.4132632646411536,0.6876959183114363,1520420852.121371
2.4438402160410484,0.6958408812570112,1520420852.285367
2.474390866588514,0.7045604345548062,1520420852.445389
2.5047084170811944,0.7141961706469923,1520420852.605401
2.53422738302786,0.7253307435301669,1520420852.765675
2.5622309114491255,0.7388144700980336,1520420852.925394
2.589682445798897,0.7542867071202634,1520420853.085432
2.616496553262382,0.7710057664462994,1520420853.245357
2.6430162217617297,0.7884239021293489,1520420853.40562
2.669100960261347,0.8064108629194495,1520420853.565661
2.6946884589809175,0.8253828754464442,1520420853.725482
2.7185982729020144,0.8453795049417124,1520420853.886131
2.7416168836170858,0.8669633911806832,1520420854.045511
2.7639598803101983,0.8894899811020414,1520420854.205448
2.785605042109977,0.9122198022400362,1520420854.365616
2.807328917504936,0.935578275959841,1520420854.525427
2.8285716362735784,0.9592601365728787,1520420854.685365
2.8488886635264565,0.9834059966636091,1520420854.849437
2.868489323082981,1.0083549124392381,1520420855.009383
2.887398880207107,1.0336199483158302,1520420855.169382
2.9060051982227764,1.059161993771747,1520420855.329729
2.9243905833802417,1.085385448350249,1520420855.489411
2.94173035320647,1.1117005465468837,1520420855.649438
2.958427194538854,1.1382782200156725,1520420855.809558
2.9751117029041114,1.1654661730694542,1520420855.973362
2.9914148728176033,1.192536469965849,1520420856.133749
3.007294064546687,1.219857177236939,1520420856.293872
3.022516021635286,1.2476941715636578,1520420856.453416
3.036516468518337,1.275927019145671,1520420856.613531
3.0497509175755275,1.3045283216439243,1520420856.773357
3.062623889057721,1.3334347364563206,1520420856.933565
3.075143015411384,1.3624959188767045,1520420857.093868
3.0867987156253296,1.3912703013125298,1520420857.253371
3.094787380493718,1.4122770088315189,1520420857.413489
3.1030804158564926,1.4336691125819692,1520420857.573424
3.1111493244175343,1.4539582678505725,1520420857.73341
3.120116170634814,1.4763685849345525,1520420857.893628
3.128541983689723,1.4973417635727582,1520420858.053456
3.137213818374514,1.5189054881328332,1520420858.213431
3.1460097071905504,1.5407870464108027,1520420858.373652
3.1548498967996457,1.562788684320481,1520420858.533376
3.1639981584440173,1.58553977322481,1520420858.693601
3.173366882781362,1.6087997485628132,1520420858.853444
3.1827138180364893,1.631976546556365,1520420859.013401
3.192068353025109,1.6551502785480863,1520420859.17354
3.2015567722785114,1.678637880945649,1520420859.33338
